nume,pret,positive,negative,total_reviews
MiSide,11.99,108883,2204,111087
Mass Effect 2 (2010 Edition),0.0,14623,920,15543
Dragon Age: Origins - Ultimate Edition,29.99,24599,3813,28412
Creativerse,24.99,24051,6924,30975
Wolcen: Lords of Mayhem,19.99,37846,29831,67677
DRAGON BALL Z: KAKAROT,19.99,50976,3704,54680
Astral Party ,0.0,9547,7422,16969
Crypt of the NecroDancer,14.99,24053,1063,25116
Shakes and Fidget,0.0,33837,2756,36593
DC Universe Online,0.0,16923,4093,21016
Bloodstained: Ritual of the Night,9.99,36999,2486,39485
REMNANT II,49.99,50249,10114,60363
The Ascent,29.99,16932,5952,22884
Eador. Masters of the Broken World,19.99,1871,872,2743
Enclave,4.99,5068,1312,6380
